Tx Date,Promotion ID,Promotion Desci,Store Code,VIP Code,Doc No,PLU Style,Item Description,Brand,Animal Type,Product Group,Product Class,Product Category,Product Sub-Category,Qty Sold,Amt Sold,Prom Less,Ttl Sell Price,Ttl Org Price
2025-09-25,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,SHOP89,96451082,S-SHOP89-01-005151,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-09-26,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,RC0009,52389983,S-RC0009-01-026046,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-09-27,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,RC0002,63388912,S-RC0002-02-007461,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-09-27,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,SHOP25,61323862,S-SHOP25-01-023040,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-09-27,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,SHOP73,98639660,S-SHOP73-01-017379,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-09-28,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,SHOP73,,S-SHOP73-01-017453,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-09-28,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,SHOP73,66230290,S-SHOP73-01-017408,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-09-30,PEWHOUSE00003030,OctTop10折扣伊豆國寵物車IZ43334優惠價$499,SHOP78,62997973,S-SHOP78-01-031233,IZ43334,@升級可折疊分離籠寵物車啞灰色,IZUNOKUN,DOG-CAT,DAILYNEC,HH_FUR,CAGEOUTING,STROLLER_ACC,1,499.00,500.00,999.00,999.00
2025-10-01,PROMO2024001,Buy 2 Get 1 Free Dog Food,SHOP89,12345678,S-SHOP89-01-005200,DF001,Premium Dog Food 5kg,ROYAL CANIN,DOG,FOOD,DRY_FOOD,MAIN_MEAL,ADULT,2,180.00,90.00,270.00,270.00
2025-10-01,PROMO2024001,Buy 2 Get 1 Free Dog Food,RC0009,,S-RC0009-01-026100,DF001,Premium Dog Food 5kg,ROYAL CANIN,DOG,FOOD,DRY_FOOD,MAIN_MEAL,ADULT,2,180.00,90.00,270.00,270.00
2025-10-02,PROMO2024001,Buy 2 Get 1 Free Dog Food,SHOP25,,S-SHOP25-01-023100,DF001,Premium Dog Food 5kg,ROYAL CANIN,DOG,FOOD,DRY_FOOD,MAIN_MEAL,ADULT,2,180.00,90.00,270.00,270.00
2025-10-02,PROMO2024002,Cat Litter 20% Off,SHOP73,87654321,S-SHOP73-01-017500,CL001,Clumping Cat Litter 10L,EVER CLEAN,CAT,DAILYNEC,LITTER,CLUMPING,BENTONITE,1,120.00,30.00,150.00,150.00
2025-10-03,PROMO2024002,Cat Litter 20% Off,SHOP78,,S-SHOP78-01-031300,CL001,Clumping Cat Litter 10L,EVER CLEAN,CAT,DAILYNEC,LITTER,CLUMPING,BENTONITE,1,120.00,30.00,150.00,150.00
2025-10-03,PROMO2024002,Cat Litter 20% Off,RC0002,11223344,S-RC0002-02-007500,CL001,Clumping Cat Litter 10L,EVER CLEAN,CAT,DAILYNEC,LITTER,CLUMPING,BENTONITE,2,240.00,60.00,300.00,300.00
2025-10-04,PROMO2024003,Pet Toy Bundle Special,SHOP89,,S-SHOP89-01-005300,PT001,Interactive Dog Toy Set,KONG,DOG,DAILYNEC,TOYS,INTERACTIVE,CHEW_TOY,1,89.00,40.00,129.00,129.00
